memo,ID,lat,lng,type
,341,35.887141,128.609044,1
A50,342,35.890916,128.613984,1
,343,35.890868,128.614095,1
,344,35.89082,128.614206,1
,345,35.890772,128.614317,1
,346,35.890724,128.614428,1
,347,35.890676,128.614539,1
,348,35.890628,128.61465,1
,349,35.89058,128.614761,1
,350,35.890532,128.614872,1
,351,35.890484,128.614983,1
,352,35.890436,128.615094,1
,353,35.890388,128.615205,1
,354,35.89034,128.615316,1
,355,35.890292,128.615427,1
,356,35.890244,128.615538,1
,357,35.890196,128.615649,1
,358,35.890148,128.61576,1
,359,35.8901,128.615871,1
,360,35.890153,128.615981,1
A61,361,35.887088,128.612804,1
,362,35.887,128.612807,1
,363,35.886912,128.61281,1
,364,35.886824,128.612813,1
,365,35.886706,128.612826,1
,366,35.886577,128.612839,1
A61/,367,35.887086,128.612754,1
,368,35.886998,128.61276,1
,369,35.88691,128.612766,1
,370,35.886822,128.612772,1
,371,35.886695,128.612784,1
,372,35.886573,128.612792,1
A62,373,35.886495,128.612859,1
,374,35.886407,128.612947,1
,375,35.886319,128.613035,1
,376,35.886231,128.613123,1
,377,35.886143,128.613211,1
,378,35.886055,128.613299,1
,379,35.885967,128.613387,1
,380,35.885879,128.613475,1
,381,35.885791,128.613563,1
,382,35.885703,128.613651,1
,383,35.885615,128.613739,1
,384,35.885603,128.613804,1
,385,35.88569,128.613856,1
A62/,386,35.886474,128.612821,1
,387,35.886386,128.612907,1
,388,35.886298,128.612993,1
,389,35.88621,128.613079,1
,390,35.886122,128.613165,1
,391,35.886034,128.613251,1
,392,35.885946,128.613337,1
,393,35.885858,128.613423,1
,394,35.88577,128.613509,1
,395,35.885682,128.613595,1
,396,35.885674,128.613701,1
,397,35.885662,128.613822,1
A71,398,35.888812,128.616883,1
,399,35.888735,128.616797,1
,400,35.888658,128.616711,1
,401,35.888581,128.616625,1
,402,35.888504,128.616539,1
,403,35.888427,128.616453,1
,404,35.88835,128.616367,1
,405,35.888273,128.616281,1
,406,35.888196,128.616195,1
,407,35.888119,128.616109,1
,408,35.888042,128.616023,1
,409,35.887965,128.615937,1
,410,35.887888,128.615851,1
,411,35.887811,128.615775,1
,412,35.887734,128.61569,1
,413,35.887657,128.615615,1
,414,35.88758,128.61554,1
,415,35.887402,128.615962,1
A71/,416,35.888753,128.616924,1
,417,35.888676,128.61684,1
,418,35.888599,128.616756,1
,419,35.888522,128.616672,1
,420,35.888445,128.616588,1
,421,35.888368,128.616504,1
,422,35.888291,128.61642,1
,423,35.888214,128.616336,1
,424,35.888137,128.616252,1
,425,35.88806,128.616168,1
,426,35.887983,128.616084,1
,427,35.887906,128.616,1
,428,35.887829,128.615916,1
,429,35.887752,128.615832,1
,430,35.887675,128.615748,1
,431,35.887598,128.615664,1
,432,35.887521,128.61558,1
,433,35.887346,128.616008,1
A72,434,35.887362,128.615932,1
,435,35.887274,128.615902,1
,436,35.887186,128.615872,1
,437,35.887098,128.615842,1
,438,35.88701,128.615812,1
,439,35.886922,128.615782,1
,440,35.886834,128.615752,1
,441,35.886746,128.615722,1
,442,35.886658,128.615692,1
,443,35.88657,128.615662,1
,444,35.886482,128.615632,1
,445,35.886394,128.615602,1
,446,35.886306,128.615572,1
,447,35.886218,128.615542,1
,448,35.88613,128.615512,1
,449,35.886042,128.615482,1
,450,35.885954,128.615452,1
,451,35.885866,128.615422,1
,452,35.885774,128.61539,1
,453,35.885682,128.615364,1
A72/,454,35.887371,128.616034,1
,455,35.887283,128.616003,1
,456,35.887195,128.615972,1
,457,35.887107,128.615941,1
,458,35.887019,128.61591,1
,459,35.886931,128.615879,1
,460,35.886843,128.615848,1
,461,35.886755,128.615817,1
,462,35.886667,128.615786,1
,463,35.886579,128.615755,1
,464,35.886491,128.615724,1
,465,35.886403,128.615693,1
,466,35.886315,128.615662,1
,467,35.886227,128.615631,1
,468,35.886139,128.6156,1
,469,35.886051,128.615569,1
,470,35.885963,128.615538,1
,471,35.885875,128.615507,1
,472,35.885783,128.615474,1
,473,35.885697,128.615461,1
A73,474,35.885606,128.615331,1
,475,35.88554,128.615239,1
,476,35.885474,128.615147,1
,477,35.885408,128.615055,1
,478,35.885342,128.614963,1
,479,35.885276,128.614871,1
,480,35.885206,128.614747,1
A73/,481,35.885485,128.615329,1
,482,35.885422,128.615238,1
,483,35.885359,128.615147,1
,484,35.885296,128.615056,1
,485,35.885233,128.614965,1
,486,35.88519,128.614875,1
,487,35.885154,128.614784,1
B11,488,35.894745,128.612497,2
,489,35.894706,128.612526,2
,490,35.894667,128.612555,2
,491,35.894628,128.612584,2
,492,35.894589,128.612613,2
