id,NUMPOINTS,lon,lat,grid_size_m
105491,1.0,128.6087727350749,35.88131616037921,100
105492,10.0,128.60876017032223,35.880414717330495,100
105493,0.0,128.60874760612754,35.87951327414241,100
105936,14.0,128.61004396260796,35.893024672198145,100
105937,2.0,128.61003137804565,35.89212323129858,100
105938,0.0,128.61001879404228,35.89122179025962,100
105939,0.0,128.6100062105978,35.89032034908124,100
105940,0.0,128.60999362771204,35.88941890776345,100
105941,0.0,128.60998104538515,35.88851746630625,100
105942,0.0,128.60996846361712,35.887616024709644,100
105943,0.0,128.60995588240777,35.88671458297363,100
105944,0.0,128.60994330175717,35.88581314109821,100
105945,0.0,128.6099307216653,35.88491169908338,100
105946,0.0,128.6099181421321,35.88401025692917,100
105947,0.0,128.6099055631576,35.88310881463554,100
105948,15.0,128.60989298474166,35.88220737220252,100
105949,0.0,128.6098804068844,35.881305929630095,100
105950,6.0,128.6098678295857,35.880404486918295,100
105951,14.0,128.60985525284556,35.87950304406708,100
106394,0.0,128.61115179700718,35.893014426852645,100
106395,0.0,128.61113919989177,35.89211298629042,100
106396,0.0,128.6111266033357,35.891211545588774,100
106397,0.0,128.61111400733904,35.890310104747705,100
106398,0.0,128.61110141190179,35.88940866376722,100
106399,0.0,128.61108881702393,35.88850722264733,100
106400,0.0,128.6110762227054,35.88760578138801,100
106401,0.0,128.61106362894623,35.88670433998928,100
106402,0.0,128.6110510357463,35.88580289845113,100
106403,0.0,128.61103844310566,35.88490145677358,100
106404,0.0,128.6110258510243,35.88400001495663,100
106405,0.0,128.61101325950213,35.883098573000254,100
106406,16.0,128.61100066853913,35.88219713090447,100
106407,0.0,128.6109880781353,35.88129568866928,100
106408,9.0,128.61097548829065,35.8803942462947,100
106409,8.0,128.6109628990051,35.87949280378072,100
106852,0.0,128.61225963084703,35.89300417129108,100
106853,0.0,128.61224702117832,35.89210273106652,100
106854,0.0,128.61223441206965,35.89120129070253,100
106855,0.0,128.61222180352095,35.890299850199135,100
106856,0.0,128.61220919553216,35.88939840955629,100
106857,0.0,128.61219658810333,35.88849696877402,100
106858,0.0,128.61218398123444,35.887595527852326,100
106859,0.0,128.6121713749254,35.88669408679123,100
106860,0.0,128.61215876917618,35.88579264559068,100
106861,0.0,128.61214616398678,35.884891204250735,100
106862,0.0,128.6121335593572,35.88398976277138,100
106863,13.0,128.61212095528742,35.88308832115259,100
106864,25.0,128.61210835177738,35.882186879394396,100
106865,31.0,128.6120957488271,35.88128543749679,100
106866,23.0,128.61208314643642,35.88038399545977,100
106867,20.0,128.6120705446055,35.879482553283346,100
107310,0.0,128.61336746412678,35.892993905513485,100
107311,0.0,128.61335484190496,35.89209246562693,100
107312,0.0,128.61334222024368,35.89119102560093,100
107313,0.0,128.61332959914287,35.890289585435504,100
107314,0.0,128.61331697860263,35.88938814513065,100
107315,0.0,128.61330435862286,35.88848670468635,100
107316,0.0,128.61329173920356,35.88758526410261,100
107317,0.0,128.61327912034469,35.886683823379464,100
107318,0.0,128.6132665020462,35.88578238251688,100
107319,5.0,128.61325388430814,35.88488094151487,100
107320,26.0,128.61324126713043,35.88397950037344,100
107321,14.0,128.613228650513,35.88307805909259,100
107322,0.0,128.61321603445595,35.88217661767231,100
107323,40.0,128.61320341895913,35.88127517611261,100
107324,22.0,128.61319080402262,35.880373734413496,100
107325,0.0,128.6131781896463,35.879472292574974,100
107768,0.0,128.614475296846,35.89298362951986,100
107769,0.0,128.614462662071,35.89208218997163,100
107770,0.0,128.6144500278571,35.89118075028397,100
107771,0.0,128.61443739420432,35.89027931045686,100
107772,0.0,128.6144247611126,35.88937787049033,100
107773,0.0,128.6144121285819,35.88847643038433,100
107774,0.0,128.61439949661226,35.88757499013891,100
107775,0.0,128.6143868652036,35.88667354975404,100
107776,1.0,128.6143742343559,35.88577210922974,100
107777,20.0,128.61436160406913,35.88487066856601,100
107778,0.0,128.61434897434327,35.88396922776285,100
107779,0.0,128.6143363451783,35.88306778682025,100
107780,0.0,128.6143237165742,35.88216634573823,100
107781,18.0,128.61431108853097,35.88126490451678,100
107782,29.0,128.61429846104855,35.8803634631559,100
107783,9.0,128.6142858341269,35.87946202165561,100
108226,0.0,128.61558312900405,35.89297334331021,100
108227,0.0,128.61557048167592,35.89207190410067,100
108228,0.0,128.6155578349095,35.891170464751674,100
108229,0.0,128.6155451887047,35.89026902526323,100
108230,0.0,128.6155325430615,35.889367585635334,100
108231,0.0,128.61551989797994,35.88846614586798,100
108232,11.0,128.61550725345998,35.88756470596118,100
108233,32.0,128.61549460950155,35.886663265914954,100
108234,29.0,128.6154819661046,35.88576182572928,100
108235,3.0,128.61546932326917,35.88486038540417,100
108236,0.0,128.61545668099518,35.8839589449396,100
108237,0.0,128.61544403928272,35.88305750433561,100
108238,0.0,128.61543139813165,35.88215606359218,100
108239,19.0,128.61541875754193,35.88125462270931,100
108240,0.0,128.61540611751363,35.880353181687006,100
108241,18.0,128.61539347804666,35.87945174052529,100
108684,0.0,128.61669096060035,35.89296304688458,100
